timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
15.866,6.0,4.42175,8.367617,0.47846535,0.18298882,0.03189737,0.012199133,0.5924614,0.5924614,0.6934405,0.5338249,pedestrian,12.0,10.092436,8.317636,-0.15754247,0.16410229,-0.010502726,0.010940043,1.9787037,0.8911309,0.7821275,0.7563618,motorcyclist,7.3173637,6.969137,12.3656,13.068293
15.933,6.0,4.4509544,8.371271,0.47150478,0.1722238,0.031433336,0.011481472,0.59234905,0.59234905,0.68108517,0.5338249,pedestrian,12.0,10.078888,8.347184,-0.14988638,0.13748732,-0.009992326,0.009165729,1.9767815,0.89025277,0.700211,0.7595814,motorcyclist,7.2139444,6.937272,12.572469,13.128338
16.0,6.0,4.480141,8.374922,0.46454817,0.16146505,0.030969568,0.010764229,0.5922366,0.5922366,0.66872984,0.5338249,pedestrian,12.0,10.154303,8.351853,-0.11973855,0.11003891,-0.007982491,0.0073358538,1.9738054,0.88909936,0.5594685,0.7522533,motorcyclist,7.5185604,7.379294,11.960831,12.2350445
16.066,6.0,4.50931,8.378569,0.45759556,0.15071256,0.030506065,0.010047403,0.5921241,0.5921241,0.65637445,0.5338249,pedestrian,12.0,10.146764,8.366408,-0.12557884,0.109152414,-0.008371839,0.0072767544,1.9730377,0.88875353,0.57293916,0.7522533,motorcyclist,7.5900345,7.35235,11.816866,12.289728
16.133,6.0,4.5384607,8.382212,0.4506469,0.13996634,0.030042827,0.009330995,0.59201163,0.59201163,0.6440191,0.5338249,pedestrian,12.0,10.139229,8.380949,-0.13141455,0.10826657,-0.008760883,0.007217699,1.97227,0.8884077,0.5864098,0.7522533,motorcyclist,7.681572,7.324013,11.63265,12.347207
16.2,6.0,4.5675936,8.385852,0.44370228,0.12922637,0.029579856,0.008615005,0.5918991,0.5918991,0.6316638,0.5338249,pedestrian,12.0,10.131696,8.395475,-0.13724567,0.10738138,-0.00914962,0.0071586873,1.9715023,0.8880619,0.59988046,0.7522533,motorcyclist,7.7867937,7.2938304,11.420979,12.408389
16.266,6.0,4.596709,8.389488,0.43676162,0.11849266,0.02911715,0.0078994315,0.5917865,0.5917865,0.6193084,0.5338249,pedestrian,12.0,10.124166,8.409988,-0.14307222,0.10649685,-0.009538053,0.0070997193,1.9707345,0.88771605,0.6133511,0.7522533,motorcyclist,7.612402,7.2613344,11.770245,12.47421
16.333,6.0,4.625806,8.393121,0.42982495,0.10776522,0.028654711,0.007184276,0.59167385,0.59167385,0.6069531,0.5338249,pedestrian,12.0,10.116638,8.424488,-0.14889418,0.10561297,-0.009926179,0.0070407945,1.9699668,0.8873702,0.62682176,0.74567574,motorcyclist,7.450783,7.2260513,12.093878,12.545621
16.4,6.0,4.654886,8.39675,0.42289227,0.097044036,0.028192537,0.006469538,0.59156126,0.59156126,0.59459776,0.5338249,pedestrian,12.0,10.123649,8.445111,-0.08436123,0.029054424,-0.005624026,0.0019369422,1.9685007,0.88670987,0.30586198,0.44229114,motorcyclist,8.226258,8.721149,10.537555,9.53095
16.466,6.0,4.683947,8.400375,0.4159636,0.08632912,0.027730629,0.0057552173,0.59144855,0.59144855,0.58224237,0.5338249,pedestrian,12.0,10.123649,8.445111,-0.08436123,0.029054424,-0.005624026,0.0019369422,1.9685007,0.88670987,0.30586198,0.44229114,motorcyclist,8.228542,8.813237,10.532387,9.3461685
16.533,6.0,4.712991,8.403997,0.40903887,0.075620465,0.027268987,0.005041314,0.59133583,0.59133583,0.56988704,0.5338249,pedestrian,12.0,10.123649,8.445111,-0.08436123,0.029054424,-0.005624026,0.0019369422,1.9685007,0.88670987,0.30586198,0.7331526,motorcyclist,8.231473,inf,10.525924,
16.6,6.0,4.7420173,8.407617,0.40211818,0.06491807,0.02680761,0.004327828,0.59122306,0.59122306,0.5575317,0.5338249,pedestrian,12.0,10.123649,8.445111,-0.08436123,0.029054424,-0.005624026,0.0019369422,1.9676355,0.886327,0.30586198,0.7209717,motorcyclist,8.236087,inf,10.516082,
