id_i,id_j,timestamp_max_severity,class_i,class_j,severity_ij_mean,severity_ij_std,severity_ij_median,severity_ij_min,severity_ij_max,severity_ji_mean,severity_ji_std,severity_ji_median,severity_ji_min,severity_ji_max,TTC_ij_mean,TTC_ij_std,TTC_ij_median,TTC_ij_min,TTC_ij_max,TTC_ji_mean,TTC_ji_std,TTC_ji_median,TTC_ji_min,TTC_ji_max,velocity_i_kmh_max_severity,velocity_j_kmh_max_severity
8.0,14.0,3.159,cyclist,car,22.25455,,22.25455,22.25455,22.25455,18.213507,,18.213507,18.213507,18.213507,2.739485,,2.739485,2.739485,2.739485,4.8461947,,4.8461947,4.8461947,4.8461947,14.62552,17.804491
23.0,24.0,8.324,van,car,17.995543,8.29436,16.454416,3.6687791,29.269255,17.994768,8.378335,16.00673,3.4423,30.00432,6.7707677,2.404223,5.5498385,5.196277,11.787147,6.7763834,2.2642868,5.6987104,5.3004117,11.862492,5.564478,5.524579
23.0,26.0,8.876,van,car,13.162022,3.1835828,14.476473,1.874954,15.831414,13.848926,3.6413653,15.032582,2.1496267,16.585007,7.0384493,1.5833449,6.3985033,5.706796,12.655097,6.968273,1.767483,6.444012,5.64997,12.673094,5.546952,18.095387
23.0,29.0,12.135,van,car,5.0491476,1.9016918,3.8737197,3.2395725,8.08232,5.002758,1.6465269,4.523082,3.1090813,7.9285216,11.1265335,0.9433645,11.710254,9.62287,12.023958,11.067091,0.8220505,11.3069515,9.606854,12.012096,7.606006,3.925708
24.0,26.0,8.625,car,car,19.664532,1.2128036,19.113897,18.162714,21.229195,20.637146,1.1341976,20.983612,18.69017,22.001427,3.7982812,0.6044928,4.070699,3.0239394,4.55347,3.6079116,0.5470921,3.4459772,2.9378366,4.5405016,6.074436,17.20191
24.0,27.0,7.823,car,car,7.121881,3.7640142,8.29692,1.2663628,10.829026,7.146002,2.9979877,7.620774,2.2499619,10.743596,10.11374,1.8926202,9.527076,8.244847,13.055855,10.205972,1.4803922,9.969225,8.432326,12.626011,7.2657037,12.753937
24.0,29.0,10.531,car,car,4.5581856,1.6201357,4.7726936,2.1919541,6.782982,4.2589746,2.2359354,4.869463,0.7105252,6.607182,11.357281,0.7984301,11.249668,10.2709055,12.538765,11.47435,1.1126306,11.171532,10.313589,13.2451,7.621979,5.8602753
26.0,31.0,9.477,car,car,25.50871,0.68875873,25.868227,24.43582,26.236216,25.605753,0.81341916,25.684477,23.175222,26.532778,1.1737473,0.34614772,1.0327941,0.7802353,1.6972543,1.0443606,0.46163738,1.0059754,0.48524,2.3722649,16.02137,17.334105
27.0,31.0,11.885,car,car,22.140604,0.28987324,22.21239,21.82158,22.387836,23.650846,0.727641,23.786018,22.865095,24.30142,2.574517,0.14962329,2.5384872,2.4461985,2.7388656,2.2024758,0.387918,2.1362464,1.851936,2.6192446,5.9808784,19.396177
34.0,35.0,13.539,car,car,23.560678,0.33907384,23.539993,23.170687,23.992037,23.282345,0.74682146,23.492336,22.210571,23.93413,2.0922353,0.18947949,2.0989769,1.8560127,2.314975,2.1411014,0.37985083,2.0375814,1.8049126,2.6843305,14.047638,11.070265
